property,superproperty,last_word_superclass,last_word_subclass
http://dbpedia.org/ontology/filmPolskiId,http://dbpedia.org/ontology/code,filmPolskiId,code
http://dbpedia.org/ontology/filmRuntime,http://dbpedia.org/ontology/runtime,filmRuntime,runtime
http://dbpedia.org/ontology/firstFlight,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isParticipantIn,firstFlight,DUL.owl#isParticipantIn
http://dbpedia.org/ontology/firstLaunchRocket,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,firstLaunchRocket,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/firstOlympicEvent,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isParticipantIn,firstOlympicEvent,DUL.owl#isParticipantIn
http://dbpedia.org/ontology/firstOwner,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,firstOwner,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/firstPublisher,http://dbpedia.org/ontology/publisher,firstPublisher,publisher
http://dbpedia.org/ontology/flagBearer,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,flagBearer,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/foresterDistrict,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf,foresterDistrict,DUL.owl#isPartOf
http://dbpedia.org/ontology/fossil,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,fossil,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/fuel,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,fuel,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/fundedBy,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isSettingFor,fundedBy,DUL.owl#isSettingFor
http://dbpedia.org/ontology/gaudiAward,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,gaudiAward,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/geminiAward,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,geminiAward,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/geneLocation,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation,geneLocation,DUL.owl#hasLocation
http://dbpedia.org/ontology/geolocDepartment,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf,geolocDepartment,DUL.owl#isPartOf
http://dbpedia.org/ontology/goldenCalfAward,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,goldenCalfAward,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/goldenGlobeAward,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,goldenGlobeAward,DUL.owl#coparticipatesWith
