"superclass","subclass"
"http://dbpedia.org/ontology/Coach","http://dbpedia.org/ontology/CollegeCoach"
"http://dbpedia.org/ontology/Coach","http://dbpedia.org/ontology/VolleyballCoach"
"http://dbpedia.org/ontology/CollectionOfValuables","http://dbpedia.org/ontology/Archive"
"http://dbpedia.org/ontology/Comic","http://dbpedia.org/ontology/ComicStrip"
"http://dbpedia.org/ontology/Comic","http://dbpedia.org/ontology/Manga"
"http://dbpedia.org/ontology/Comic","http://dbpedia.org/ontology/Manhua"
"http://dbpedia.org/ontology/Comic","http://dbpedia.org/ontology/Manhwa"
"http://dbpedia.org/ontology/ComicsCharacter","http://dbpedia.org/ontology/AnimangaCharacter"
"http://dbpedia.org/ontology/Company","http://dbpedia.org/ontology/Bank"
"http://dbpedia.org/ontology/Company","http://dbpedia.org/ontology/Brewery"
"http://dbpedia.org/ontology/Company","http://dbpedia.org/ontology/Caterer"
"http://dbpedia.org/ontology/Company","http://dbpedia.org/ontology/LawFirm"
"http://dbpedia.org/ontology/Company","http://dbpedia.org/ontology/PublicTransitSystem"
"http://dbpedia.org/ontology/Company","http://dbpedia.org/ontology/Publisher"
"http://dbpedia.org/ontology/Company","http://dbpedia.org/ontology/RecordLabel"
"http://dbpedia.org/ontology/Company","http://dbpedia.org/ontology/Winery"
"http://dbpedia.org/ontology/Competition","http://dbpedia.org/ontology/Contest"
"http://dbpedia.org/ontology/Country","http://dbpedia.org/ontology/HistoricalCountry"
"http://dbpedia.org/ontology/Crater","http://dbpedia.org/ontology/LunarCrater"
"http://dbpedia.org/ontology/Criminal","http://dbpedia.org/ontology/Murderer"
"http://dbpedia.org/ontology/Database","http://dbpedia.org/ontology/BiologicalDatabase"
"http://dbpedia.org/ontology/Database","http://dbpedia.org/ontology/حیاتیاتی'ریکارڈرز_پر_مبنی_ایک_فائل'"
"http://dbpedia.org/ontology/Department","http://dbpedia.org/ontology/OverseasDepartment"
"http://dbpedia.org/ontology/Device","http://dbpedia.org/ontology/Battery"
"http://dbpedia.org/ontology/Device","http://dbpedia.org/ontology/Camera"
"http://dbpedia.org/ontology/Device","http://dbpedia.org/ontology/Engine"
"http://dbpedia.org/ontology/Device","http://dbpedia.org/ontology/InformationAppliance"
"http://dbpedia.org/ontology/Device","http://dbpedia.org/ontology/Instrument"
"http://dbpedia.org/ontology/Device","http://dbpedia.org/ontology/MobilePhone"
"http://dbpedia.org/ontology/Device","http://dbpedia.org/ontology/Robot"
"http://dbpedia.org/ontology/Device","http://dbpedia.org/ontology/Weapon"
"http://dbpedia.org/ontology/District","http://dbpedia.org/ontology/HistoricalDistrict"
"http://dbpedia.org/ontology/Document","http://dbpedia.org/ontology/File"
