superclass,subclass,last_word_superclass,last_word_subclass
http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/ChristianBishop,Cleric,ChristianBishop
http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/ChristianPatriarch,Cleric,ChristianPatriarch
http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/Pope,Cleric,Pope
http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/Priest,Cleric,Priest
http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/Saint,Cleric,Saint
http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/Vicar,Cleric,Vicar
http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/Deanery,ClericalAdministrativeRegion,Deanery
http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/Diocese,ClericalAdministrativeRegion,Diocese
http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/Parish,ClericalAdministrativeRegion,Parish
http://dbpedia.org/ontology/Coach,http://dbpedia.org/ontology/AmericanFootballCoach,Coach,AmericanFootballCoach
http://dbpedia.org/ontology/Coach,http://dbpedia.org/ontology/CollegeCoach,Coach,CollegeCoach
http://dbpedia.org/ontology/Coach,http://dbpedia.org/ontology/VolleyballCoach,Coach,VolleyballCoach
http://dbpedia.org/ontology/CollectionOfValuables,http://dbpedia.org/ontology/Archive,CollectionOfValuables,Archive
http://dbpedia.org/ontology/Comic,http://dbpedia.org/ontology/ComicStrip,Comic,ComicStrip
http://dbpedia.org/ontology/Comic,http://dbpedia.org/ontology/Manga,Comic,Manga
http://dbpedia.org/ontology/Comic,http://dbpedia.org/ontology/Manhua,Comic,Manhua
http://dbpedia.org/ontology/Comic,http://dbpedia.org/ontology/Manhwa,Comic,Manhwa
http://dbpedia.org/ontology/ComicsCharacter,http://dbpedia.org/ontology/AnimangaCharacter,ComicsCharacter,AnimangaCharacter
http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Bank,Company,Bank
http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Brewery,Company,Brewery
http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Caterer,Company,Caterer
http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LawFirm,Company,LawFirm
http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/PublicTransitSystem,Company,PublicTransitSystem
http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Publisher,Company,Publisher
http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/RecordLabel,Company,RecordLabel
http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Winery,Company,Winery
http://dbpedia.org/ontology/Competition,http://dbpedia.org/ontology/Contest,Competition,Contest
http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/HistoricalCountry,Country,HistoricalCountry
http://dbpedia.org/ontology/Crater,http://dbpedia.org/ontology/LunarCrater,Crater,LunarCrater
http://dbpedia.org/ontology/Criminal,http://dbpedia.org/ontology/Murderer,Criminal,Murderer
