"property","superproperty"
"http://dbpedia.org/ontology/oilSystem","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasComponent"
"http://dbpedia.org/ontology/outflow","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasCommonBoundary"
"http://dbpedia.org/ontology/prospectTeam","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf"
"http://dbpedia.org/ontology/provost","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/raceHorse","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/rector","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/rocketFunction","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isClassifiedBy"
"http://dbpedia.org/ontology/schoolBoard","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/significantDesign","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/significantProject","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/sportCountry","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/televisionSeries","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasMember"
"http://dbpedia.org/ontology/training","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/twinTown","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/university","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/usingCountry","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/variantOf","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/vicePresident","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/youthWing","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart"
"http://dbpedia.org/ontology/bodyDiscovered","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation"
"http://dbpedia.org/ontology/showJudge","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasParticipant"
"http://dbpedia.org/ontology/bronzeMedalist","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasParticipant"
"http://dbpedia.org/ontology/bronzeMedalist","http://dbpedia.org/ontology/Medalist"
"http://dbpedia.org/ontology/committeeInLegislature","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart"
"http://dbpedia.org/ontology/curator","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/formerHighschool","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf"
"http://dbpedia.org/ontology/goldMedalist","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasParticipant"
"http://dbpedia.org/ontology/goldMedalist","http://dbpedia.org/ontology/Medalist"
"http://dbpedia.org/ontology/jockey","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/nextEvent","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#precedes"
"http://dbpedia.org/ontology/nextEvent","http://dbpedia.org/ontology/followedBy"
"http://dbpedia.org/ontology/silverMedalist","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasParticipant"
"http://dbpedia.org/ontology/silverMedalist","http://dbpedia.org/ontology/Medalist"
"http://dbpedia.org/ontology/winsAtLET","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isParticipantIn"
"http://dbpedia.org/ontology/viceLeader","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/comparable","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/organSystem","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf"
"http://dbpedia.org/ontology/riverBranchOf","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasCommonBoundary"
"http://dbpedia.org/ontology/winsAtAsia","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isParticipantIn"
"http://dbpedia.org/ontology/winsAtLPGA","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isParticipantIn"
"http://dbpedia.org/ontology/brand","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/religiousHead","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasMember"
"http://dbpedia.org/ontology/winsAtPGA","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isParticipantIn"
"http://dbpedia.org/ontology/officialSchoolColour","http://dbpedia.org/ontology/ColourName"
"http://dbpedia.org/ontology/averageDepth","http://dbpedia.org/ontology/depth"
"http://dbpedia.org/ontology/greekName","http://dbpedia.org/ontology/Name"
"http://dbpedia.org/ontology/inseeCode","http://dbpedia.org/ontology/codeSettlement"
"http://dbpedia.org/ontology/iso6391Code","http://dbpedia.org/ontology/LanguageCode"
"http://dbpedia.org/ontology/iso6392Code","http://dbpedia.org/ontology/LanguageCode"
